id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
304565030177886210,304565030177886210,1361448936000,2013-02-21,07:15:36,EDT,470577454,margorilla17,i dont have a spleen,,“@sophiebrahams:Another good year for girls who like to wear clothes with pictures of skulls on them.”@itisthefaye @JanieLA2 #masterofdeath,"['sophiebrahams', 'itisthefaye', 'janiela2']",[],[],0,1,1,['#masterofdeath'],[],https://twitter.com/Margorilla17/status/304565030177886210,False,,0,,,,,,,"[{'user_id': '470577454', 'username': 'Margorilla17'}, {'user_id': '17611696', 'username': 'sophiebrahams'}, {'user_id': '426988888', 'username': 'itisthefaye'}, {'user_id': '352595033', 'username': 'JanieLA2'}]",,,,
301169190683951104,301169190683951104,1360639305000,2013-02-11,22:21:45,EDT,470577454,margorilla17,i dont have a spleen,,Epiphany: new girl on suits=star of Center Stage ahhhhhhhhhhhhhh. #jodysawyer #ibroughtyoudessert #coopersucks,[],[],[],0,0,1,"['#jodysawyer', '#ibroughtyoudessert', '#coopersucks']",[],https://twitter.com/Margorilla17/status/301169190683951104,False,,0,,,,,,,"[{'user_id': '470577454', 'username': 'Margorilla17'}]",,,,
296640220122722304,294879642475696129,1359559514000,2013-01-30,10:25:14,EDT,470577454,margorilla17,i dont have a spleen,,@louiseroe where can i find this skirt i need it #pleasehelp,['louiseroe'],[],[],0,0,0,['#pleasehelp'],[],https://twitter.com/Margorilla17/status/296640220122722304,False,,0,,,,,,,"[{'user_id': '470577454', 'username': 'Margorilla17'}, {'user_id': '34176258', 'username': 'louiseroe'}]",,,,
285062180657827841,285062180657827841,1356799094000,2012-12-29,11:38:14,EDT,470577454,margorilla17,i dont have a spleen,,“@kobbsalad: @jhboger @livydakidd #gouda #gucci” #wordupgmon,"['kobbsalad', 'jhboger', 'livydakidd']",[],[],0,0,0,"['#gouda', '#gucci', '#wordupgmon']",[],https://twitter.com/Margorilla17/status/285062180657827841,False,,0,,,,,,,"[{'user_id': '470577454', 'username': 'Margorilla17'}, {'user_id': '87865919', 'username': 'kobbsalad'}, {'user_id': '37823789', 'username': 'jhboger'}, {'user_id': '234055411', 'username': 'livydakidd'}]",,,,
283404161968652288,283404161968652288,1356403792000,2012-12-24,21:49:52,EDT,470577454,margorilla17,i dont have a spleen,,“@Wwoodstockswagg: Home alone drinking game... I love my family @Allisoncowden” WE'RE WATCHING IT TOO WHAT ARE THE RULES #includeus,"['wwoodstockswagg', 'allisoncowden']",[],[],0,0,0,['#includeus'],[],https://twitter.com/Margorilla17/status/283404161968652288,False,,0,,,,,,,"[{'user_id': '470577454', 'username': 'Margorilla17'}, {'user_id': '528629422', 'username': 'Wwoodstockswagg'}, {'user_id': '63297176', 'username': 'allisoncowden'}]",,,,
283077012455829505,282991100673794048,1356325793000,2012-12-24,00:09:53,EDT,470577454,margorilla17,i dont have a spleen,,@xmanfaker what if you're sitting on your couch watching LOTR? #amistillinthelead,[],[],[],1,0,0,['#amistillinthelead'],[],https://twitter.com/Margorilla17/status/283077012455829505,False,,0,,,,,,,"[{'user_id': '470577454', 'username': 'Margorilla17'}]",,,,
279368785784369152,279368785784369152,1355441683000,2012-12-13,18:34:43,EDT,470577454,margorilla17,i dont have a spleen,,“@michellemm22: LOL- How to Laugh Online in Other Languages  http://mashable.com/2012/12/12/laugh-online-languages/ … via @mashable” jajaja Yans- tienes faycebOOOk? @JanieLA2,"['michellemm22', 'mashable', 'janiela2']",['http://mashable.com/2012/12/12/laugh-online-languages/'],[],0,1,1,[],[],https://twitter.com/Margorilla17/status/279368785784369152,False,,0,,,,,,,"[{'user_id': '470577454', 'username': 'Margorilla17'}, {'user_id': '47978699', 'username': 'michellemm22'}, {'user_id': '972651', 'username': 'mashable'}, {'user_id': '352595033', 'username': 'JanieLA2'}]",,,,
277113051528974337,277113051528974337,1354903874000,2012-12-07,13:11:14,EDT,470577454,margorilla17,i dont have a spleen,,@AnnieLennox singing 'i dont think you know what i feel' but clearly DOES know how i feel...#why on repeat,['annielennox'],[],[],0,0,0,['#why'],[],https://twitter.com/Margorilla17/status/277113051528974337,False,,0,,,,,,,"[{'user_id': '470577454', 'username': 'Margorilla17'}, {'user_id': '20443852', 'username': 'AnnieLennox'}]",,,,
272535475858833408,272535475858833408,1353812495000,2012-11-24,22:01:35,EDT,470577454,margorilla17,i dont have a spleen,,"""on my way to nowhere"" - @kobbsalad #nomad #mountains",['kobbsalad'],[],[],0,0,0,"['#nomad', '#mountains']",[],https://twitter.com/Margorilla17/status/272535475858833408,False,,0,,,,,,,"[{'user_id': '470577454', 'username': 'Margorilla17'}, {'user_id': '87865919', 'username': 'kobbsalad'}]",,,,
272098483102679043,272019368899121152,1353708308000,2012-11-23,17:05:08,EDT,470577454,margorilla17,i dont have a spleen,,@imaia24 #hoarding belongings under your jacket is also a classic move... #pseudobesity #fashionstatement,['imaia24'],[],[],1,0,0,"['#hoarding', '#pseudobesity', '#fashionstatement']",[],https://twitter.com/Margorilla17/status/272098483102679043,False,,0,,,,,,,"[{'user_id': '470577454', 'username': 'Margorilla17'}, {'user_id': '124265778', 'username': 'imaia24'}]",,,,
270001151510994947,270001151510994947,1353208265000,2012-11-17,22:11:05,EDT,470577454,margorilla17,i dont have a spleen,,Let's not go out let's just stay in and watch #beyonce videos @halesbales9977 @cbiddy12 @itisthefaye @codyc5b @_beckywaite,"['cbiddy12', 'itisthefaye', 'codyc5b']",[],[],0,0,1,['#beyonce'],[],https://twitter.com/Margorilla17/status/270001151510994947,False,,0,,,,,,,"[{'user_id': '470577454', 'username': 'Margorilla17'}, {'user_id': '202909905', 'username': 'cbiddy12'}, {'user_id': '426988888', 'username': 'itisthefaye'}, {'user_id': '259532584', 'username': 'codyc5b'}]",,,,
